queue_order,sample_id,case_priority,candidate,layout_role,expected_export_rows,source_status,source_path,candidate_export_path,reference_export_path,row_count,sensor_count,frequency_count,comparison_status,comparison_output,gate_status,min_all_complex_correlation_abs,max_all_scaled_relative_l2_error,max_all_relative_l2_error,missing_candidate_rows,missing_reference_rows,dry_run
1,L1_short_dipole_z_1p2G,required,full_grid_162,full_grid_reference,486,missing_candidate_export,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_true_nearfield.csv,data\cst_exports\level1\L1_short_dipole_z_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_short_dipole_z_1p2G\full_grid_162,pending_source,,,,,,False
2,L1_short_dipole_z_1p2G,required,geometric_farthest_32,smallest_strict_scalar_nf_ff,96,missing_full_grid_export,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_geometric_farthest_32_true_nearfield.csv,data\cst_exports\level1\L1_short_dipole_z_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_short_dipole_z_1p2G\geometric_farthest_32,pending_source,,,,,,False
3,L1_short_dipole_z_1p2G,required,fibonacci_snap_120,conservative_120_crosscheck,360,missing_full_grid_export,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_short_dipole_z_1p2G_fibonacci_snap_120_true_nearfield.csv,data\cst_exports\level1\L1_short_dipole_z_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_short_dipole_z_1p2G\fibonacci_snap_120,pending_source,,,,,,False
4,L1_halfwave_dipole_z_1p2G,required,full_grid_162,full_grid_reference,486,missing_candidate_export,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_true_nearfield.csv,data\cst_exports\level1\L1_halfwave_dipole_z_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_halfwave_dipole_z_1p2G\full_grid_162,pending_source,,,,,,False
5,L1_halfwave_dipole_z_1p2G,required,geometric_farthest_32,smallest_strict_scalar_nf_ff,96,missing_full_grid_export,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_geometric_farthest_32_true_nearfield.csv,data\cst_exports\level1\L1_halfwave_dipole_z_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_halfwave_dipole_z_1p2G\geometric_farthest_32,pending_source,,,,,,False
6,L1_halfwave_dipole_z_1p2G,required,fibonacci_snap_120,conservative_120_crosscheck,360,missing_full_grid_export,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_halfwave_dipole_z_1p2G_fibonacci_snap_120_true_nearfield.csv,data\cst_exports\level1\L1_halfwave_dipole_z_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_halfwave_dipole_z_1p2G\fibonacci_snap_120,pending_source,,,,,,False
7,L1_short_dipole_x_1p2G,recommended,full_grid_162,full_grid_reference,486,missing_candidate_export,data\cst_exports\level1_true_nearfield\L1_short_dipole_x_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_short_dipole_x_1p2G_true_nearfield.csv,data\cst_exports\level1\L1_short_dipole_x_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_short_dipole_x_1p2G\full_grid_162,pending_source,,,,,,False
8,L1_short_dipole_x_1p2G,recommended,geometric_farthest_32,smallest_strict_scalar_nf_ff,96,missing_full_grid_export,data\cst_exports\level1_true_nearfield\L1_short_dipole_x_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_short_dipole_x_1p2G_geometric_farthest_32_true_nearfield.csv,data\cst_exports\level1\L1_short_dipole_x_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_short_dipole_x_1p2G\geometric_farthest_32,pending_source,,,,,,False
9,L1_short_dipole_x_1p2G,recommended,fibonacci_snap_120,conservative_120_crosscheck,360,missing_full_grid_export,data\cst_exports\level1_true_nearfield\L1_short_dipole_x_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_short_dipole_x_1p2G_fibonacci_snap_120_true_nearfield.csv,data\cst_exports\level1\L1_short_dipole_x_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_short_dipole_x_1p2G\fibonacci_snap_120,pending_source,,,,,,False
10,L1_short_dipole_y_1p2G,recommended,full_grid_162,full_grid_reference,486,missing_candidate_export,data\cst_exports\level1_true_nearfield\L1_short_dipole_y_1p2G_true_nearfield.csv,data\cst_exports\level1_true_nearfield\L1_short_dipole_y_1p2G_true_nearfield.csv,data\cst_exports\level1\L1_short_dipole_y_1p2G_nearfield.csv,0,0,0,not_run,data\cst_true_nearfield_workpack\comparison\L1_short_dipole_y_1p2G\full_grid_162,pending_source,,,,,,False
